name,subtypes,address,sub_district,district,province,postal_code,country,latitude,longitude,phone,site,description,score
Park Village Rama 2,"Hotel, Serviced apartment","1 / 1-1 / 3 Rama II Soi 56, Samae Dam, Bang Khun Thian, Bangkok 10150",Samae Dam,Bang Khun Thian,Bangkok,10150,Thailand,13.6611016,100.4338261,+66 2 415 1122,https://www.atparkvillage.com/,Breezy rooms & apartments in an upmarket apartment hotel offering city views & a rooftop pool.,0
Kozy inn,"Extended stay hotel, Apartment building, Lodging, Serviced apartment","42/24 Soi Kamnanamen, Kallaprapruk Rd, Bang Khun Thian, Chom Thong, Bangkok 10150",Bang Khun Thian,Chom Thong,Bangkok,10150,Thailand,13.6978063,100.4364083,+66 2 802 1910,http://www.kozykornerbangkok.com/,,0
Eurna Resort,Lodging,101/1-2 ถนนท่าข้าม ซอยท่าข้าม 9/1 แสมดำ บางขุนเทียน Bangkok 10150,แสมดำ,Bang Khun Thian,Bangkok,10150,Thailand,13.6495622,100.4452922,+66 2 415 3078,,"Understated rooms in a unassuming resort offering a pool, a bar & a restaurant, plus a garden.",0
เบน เรสซิเดนซ์,Hotel,"551/1 Rama II Soi 69, Samae Dam, Bang Khun Thian, Bangkok 10150",Samae Dam,Bang Khun Thian,Bangkok,10150,Thailand,13.6401382,100.4290599,+66 2 894 6545,,,0
J and L Residence and Spa,Holiday apartment rental,"252 Phet Kasem 67 Alley, Lane 12, Lak Song, Bang Khae, Bangkok 10160",Lak Song,Bang Khae,Bangkok,10160,Thailand,13.705711,100.3793201,+66 2 408 9659,http://facebook.com/jandlresidenceandspa,,0
Tree Place,Hostel,111/108 Ekachai Soi.6 Bangkuntian Jomthong Bangkok 10150,Bang Khun Thian,Jomthong,Bangkok,10150,Thailand,13.7012839,100.4608145,+66 82 499 3355,http://treeplace-bke.zoombookdirect.com/,,0
Penyos Residence,Hotel,"290 Petchkasem Rd, Bangkhae, Bang Khae, Bangkok 10160",Bangkhae,Bang Khae,Bangkok,10160,Thailand,13.7055218,100.3790763,+66 87 018 7193,https://www.facebook.com/penyosresidence,,0
Bed By Thapa Hotel (โรงแรมเบดบาย ท่าพระ),Hotel,"134 12-14 Phet Kasem 26/1 Alley, Pak Khlong Phasi Charoen, Phasi Charoen, Bangkok 10160",Pak Khlong Phasi Charoen,Phasi Charoen,Bangkok,10160,Thailand,13.7236836,100.4630051,+66 84 646 5151,,"Functional rooms, some with sofabeds, in an informal hotel featuring a restaurant & a coffee shop.",0
The Pattern Boutique Hotel,Hotel,"547 553 Soi Krung Thonburi 6, Banglambhoolang, Khlong San, Bangkok 10600",Banglambhoolang,Khlong San,Bangkok,10600,Thailand,13.7179126,100.5013656,+66 82 424 2989,,"Understated hotel offering a lounge & a cafe, as well as breakfast & Wi-Fi access.",0
Little Lodge,Hotel,"159 Bang Bon 4 Rd, Bang Bon Nuea, Bang Bon, Bangkok 10150",Bang Bon Nuea,Bang Bon,Bangkok,10150,Thailand,13.6648476,100.3703687,+66 84 515 9289,https://littlelodge.thailandhotels.site/,,0
